Symbol,Name,Sector,Price,52 Week High,52 Week Low,Dividend Yield,Earnings per Share,Sales per Share,Book Value per Share,EBITDA,Market Cap
STZ,Constellation Brands,Consumer Staples,208.73,229.5,152.01,0.9712818,8.71,40.56478589,40.60894942,3033300000,41697453163
DXC,DXC Technology,Information Technology,91.92,102.95,67.76,0.7493755,-0.89,46.90261355,40.67256637,1628000000,27408621020
NOC,Northrop Grumman Corp.,Industrials,324.01,349.18,231.98,1.3030859,11.47,146.6389932,40.70477387,3884000000,58782413951
AMP,Ameriprise Financial,Financials,152.5,183.9,118.84,2.0735743,9.44,78.23222062,40.8847185,0,23472126000
AYI,Acuity Brands Inc,Industrials,145.41,225.36,142,0.35118526,7.43,80.99268593,40.96056338,587800000,6242377704
XOM,Exxon Mobil Corp.,Energy,76.07,89.3,76.05,4.0031195,1.88,42.97268142,41.11891892,39052000000,3.26E+11
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,101.32,119.33,66.06,1.8570102,-1.19,72.63729143,41.52459016,506100000,8753430477
PRGO,Perrigo,Health Care,84.44,95.93,63.68,0.73126143,-28.01,24.94529774,41.59605911,0,12326379902
XL,XL Capital,Financials,41.26,47.27,33.77,2.0952382,-2.24,48.88962317,42.53608247,0,10753423590
CMI,Cummins Inc.,Industrials,165.73,194.18,143.8301,2.5008683,8.23,85.40068292,42.60411311,2924000000,28669230787
DLR,Digital Realty Trust Inc,Real Estate,98.96,127.23,101.101,3.5710857,2.19,7.958207509,42.65517241,1260662000,21400952517
TMK,Torchmark Corp.,Financials,80.52,93.595,73.53,0.7204611,4.5,25.90761599,42.82978723,0,9614412169
KSU,Kansas City Southern,Industrials,103.53,114.85,81.54,1.3445379,9.16,24.17853582,43.31799163,1295400000,11037040988
CMG,Chipotle Mexican Grill,Consumer Discretionary,266.01,499,263,0,0.8,104.2201583,43.53682488,401293000,7685283970
PSX,Phillips 66,Energy,92.44,107.47,75.135,2.928564,9.93,194.6126896,43.60377358,5311000000,47996220000
AAP,Advance Auto Parts,Consumer Discretionary,109.63,169.55,78.81,0.21832074,6.19,97.00859061,43.67729084,853941000,8123611867
CINF,Cincinnati Financial,Financials,70.34,81.98,68.24,2.918904,3.55,25.5162099,43.9625,0,11916533018
AMGN,Amgen Inc,Health Care,173.12,201.23,152.16,2.9751508,2.57,31.01441798,44.27621483,11945000000,1.28E+11
